name,price_with_discount,price_with_out_discount,articul,manufacturer,is_available,link
Система инсталляции Sole для подвесного импульсного унитаза и биде,7140,7140,УТ000104869,Sole,True,https://magbo.ru/catalog/detail/sistema-installyatsii-sole-dlya-podvesnogo-impulsnogo-unitaza-i-bide/
Биде подвесное Gural Sole SO02BDE00,32970,32970,SO02BDE00,Gural,True,https://magbo.ru/catalog/detail/bide-podvesnoe-gural-sole-so02bde00/
Биде Sole Тор / TORR напольное,14250,14250,УТ000041073,Sole,True,https://magbo.ru/catalog/detail/bide-sole-torr-napolnoe/
Биде Sole Пандора 2 / Pandora 2 подвесное,12801,12801,УТ000041084,Sole,True,https://magbo.ru/catalog/detail/bide-sole-pandora-2-podvesnoe/
Биде Sole Куб / CUBE подвесное,12801,12801,УТ000041083,Sole,True,https://magbo.ru/catalog/detail/bide-sole-cube-podvesnoe/
Биде Sole Куб / CUBE напольное,15086,15086,УТ000041074,Sole,True,https://magbo.ru/catalog/detail/bide-sole-cube-napolnoe/
